property_type,floor,residence_status,registration_status,area_sqft,bedrooms,bathrooms,swimming_pool,parking_space,furnished,furniture_available,locality_score,access_main_road,shopping_complex,local_market,previous_price,price,future_trend
House,1,Non-Residence,Registrable,476353,3,3,1,4,1,0,2,1,0,0,24357392,24456674,Up
House,3,Residence,Documented,52434,11,9,0,2,0,0,8,0,1,0,3544350,3635420,Up
House,3,Residence,Documented,720755,2,5,0,7,1,0,7,0,1,1,36591609,36734292,Up
Empty Land,0,Residence,Registrable,426023,11,2,0,5,0,1,1,1,0,0,21972473,22083176,Up
Building,12,Residence,Documented,454637,8,7,0,1,0,1,2,0,1,1,23488488,23563894,Up
Empty Land,0,Non-Residence,Documented,5986,6,2,0,2,1,0,2,1,1,1,768926,876935,Up
Apartment,3,Non-Residence,Documented,139907,1,4,1,7,1,1,4,1,0,0,7663320,7714386,Up
Building,2,Residence,Registrable,650808,12,7,1,9,1,0,3,1,0,1,33580431,33700937,Up
Empty Land,0,Residence,Documented,627583,1,4,1,6,1,1,1,1,1,0,31897762,32000702,Up
Apartment,4,Residence,Documented,220684,7,7,1,9,1,0,2,0,1,0,11919184,12019653,Up
House,2,Residence,Documented,666990,8,7,0,5,0,0,9,1,1,0,34133130,34206480,Up
Villa,0,Residence,Documented,350152,5,1,0,0,1,1,1,1,1,1,17844271,17989042,Up
Farm House,0,Non-Residence,Documented,643112,12,6,1,8,0,1,9,1,0,0,33279793,33333907,Up
Building,14,Non-Residence,Documented,323210,11,9,0,2,0,1,7,0,1,0,17190776,17334466,Up
Villa,0,Residence,Registrable,198275,5,2,1,4,1,1,2,1,1,0,10479395,10578594,Up
House,2,Residence,Documented,289836,4,3,0,6,1,1,2,1,0,1,14951003,15095429,Up
Building,19,Residence,Documented,608864,14,5,0,6,1,0,5,0,0,1,31565842,31680975,Up
Villa,0,Non-Residence,Registrable,90280,6,9,0,2,1,0,5,1,0,1,5232784,5304029,Up
Empty Land,0,Residence,Registrable,153117,14,4,1,3,1,0,4,1,0,1,8683518,8776784,Up
Apartment,10,Residence,Documented,546477,6,1,1,9,0,1,10,1,0,0,28135948,28275710,Up
House,1,Non-Residence,Documented,351105,3,4,1,6,0,1,10,1,0,0,18267438,18330033,Up
Empty Land,0,Non-Residence,Registrable,534136,9,6,1,7,0,0,3,0,0,1,27495534,27638788,Up
Empty Land,0,Residence,Documented,38602,12,5,0,1,1,0,4,0,1,0,2716334,2805552,Up
House,1,Residence,Documented,74960,11,1,0,8,1,0,10,0,1,1,4587908,4663051,Up
Building,11,Residence,Registrable,365278,14,4,0,6,0,0,4,1,0,0,19222540,19318718,Up
Farm House,0,Residence,Documented,90430,7,6,0,7,1,1,2,0,1,0,5171486,5293186,Up
Flat,28,Non-Residence,Registrable,531589,1,4,1,5,1,0,5,0,1,1,27290479,27438655,Up
Flat,28,Non-Residence,Documented,627938,13,9,0,5,1,1,5,1,0,1,32827596,32885383,Up
Farm House,0,Residence,Documented,728127,7,5,0,8,0,0,5,0,0,0,36997986,37129446,Up
House,1,Non-Residence,Registrable,179708,5,8,0,3,1,1,10,0,0,1,9750035,9864552,Up
Flat,16,Residence,Registrable,155197,5,9,1,4,0,1,1,0,0,0,8612651,8707937,Up
Farm House,0,Non-Residence,Documented,214445,14,5,1,8,1,1,6,1,0,0,11794810,11930795,Up
Villa,0,Residence,Documented,232415,13,6,1,0,1,1,2,1,1,0,12559153,12609234,Up
Farm House,0,Residence,Documented,728452,2,1,0,3,0,0,7,0,1,0,36770847,36823852,Up
Building,5,Non-Residence,Registrable,208624,4,7,1,6,1,0,4,0,0,1,11145923,11269867,Up
Apartment,15,Non-Residence,Registrable,437977,12,4,0,8,1,0,5,1,0,0,23038252,23088586,Up
Farm House,0,Non-Residence,Registrable,526330,6,2,0,9,1,1,5,1,1,0,26964972,27091611,Up
Empty Land,0,Non-Residence,Registrable,284321,10,5,0,5,0,0,5,1,1,0,14989325,15097542,Up
Empty Land,0,Non-Residence,Registrable,178304,11,3,1,7,1,0,2,1,1,1,9851237,9926406,Up
Apartment,14,Residence,Registrable,706203,7,6,1,8,1,0,5,0,0,0,36214757,36360787,Up
House,1,Residence,Documented,39581,11,8,0,9,1,1,3,1,0,1,3057480,3130932,Up
Empty Land,0,Non-Residence,Registrable,718716,5,7,0,3,1,1,4,0,1,1,36637022,36713276,Up
Villa,0,Residence,Registrable,355749,9,3,1,0,1,1,2,1,0,1,18501958,18621391,Up
Farm House,0,Residence,Registrable,220430,3,8,1,7,0,0,4,1,1,1,11700137,11807247,Up
Apartment,20,Residence,Registrable,517813,1,2,1,1,0,0,9,1,0,1,26473146,26580399,Up
Villa,0,Residence,Documented,215032,4,9,0,0,1,0,8,1,0,1,11315907,11436091,Up
House,2,Non-Residence,Registrable,612880,9,4,0,6,1,1,3,0,1,1,31391890,31517100,Up
Empty Land,0,Residence,Documented,519832,4,1,0,9,0,0,1,0,1,0,26316529,26449231,Up
Apartment,5,Residence,Registrable,317337,2,8,1,8,1,1,1,0,0,0,16587074,16729320,Up
Flat,15,Residence,Documented,289606,10,7,1,8,1,1,6,1,1,1,15712512,15782482,Up
Farm House,0,Residence,Registrable,28795,14,5,1,2,1,1,3,0,0,1,2434859,2488653,Up
Flat,9,Non-Residence,Registrable,14307,14,5,0,5,1,1,4,1,1,1,1853888,1933072,Up
Building,4,Residence,Registrable,436064,5,7,0,6,1,0,1,1,1,0,22424887,22565982,Up
House,1,Residence,Registrable,158004,3,5,1,9,1,0,8,0,0,1,8641581,8772461,Up
Building,4,Residence,Documented,238567,13,8,0,8,1,1,1,1,0,0,13032591,13120956,Up
Flat,20,Non-Residence,Documented,485508,12,6,1,1,1,0,5,1,0,0,25395292,25476509,Up
Flat,27,Non-Residence,Registrable,692940,13,5,0,7,0,1,6,0,1,1,35948553,36003604,Up
Flat,21,Residence,Registrable,395040,9,9,1,6,0,0,2,1,1,0,20850424,20983086,Up
Building,7,Residence,Documented,518423,4,2,0,3,1,0,7,1,0,1,26441506,26561586,Up
Apartment,15,Non-Residence,Documented,167481,6,1,0,1,1,1,7,0,1,1,9029342,9092217,Up
House,2,Residence,Documented,745199,2,8,1,7,1,1,1,0,0,1,37905502,38025393,Up
Farm House,0,Non-Residence,Registrable,20370,6,3,1,4,1,1,4,1,0,0,1738732,1808724,Up
Apartment,17,Residence,Documented,203696,3,7,1,5,0,1,4,0,0,1,10988778,11090440,Up
Farm House,0,Residence,Registrable,249183,12,8,1,6,0,0,5,1,0,0,13455223,13563698,Up
Villa,0,Non-Residence,Registrable,235177,12,6,1,9,0,1,1,0,0,1,12805425,12886499,Up
Villa,0,Residence,Documented,27290,9,9,0,0,0,0,1,1,1,1,2038806,2156858,Up
Flat,18,Residence,Registrable,643662,11,7,1,7,1,1,7,0,1,1,33528303,33600925,Up
House,3,Residence,Registrable,448845,2,5,1,3,1,0,9,0,0,1,23013395,23130410,Up
House,2,Non-Residence,Documented,749574,12,8,1,8,1,1,1,1,1,1,38625211,38758085,Up
Empty Land,0,Non-Residence,Registrable,487962,12,2,0,0,0,0,2,0,0,0,24921762,25064305,Up
Empty Land,0,Residence,Documented,540273,9,7,1,1,1,0,6,0,1,1,27889948,27980930,Up
Apartment,19,Residence,Documented,86688,5,4,1,5,1,0,6,1,1,1,5245176,5354245,Up
Building,10,Residence,Documented,529536,8,9,1,9,0,1,2,0,0,1,27513574,27608652,Up
Empty Land,0,Residence,Registrable,742629,2,1,0,0,0,1,9,0,1,0,37410598,37511471,Up
Apartment,27,Non-Residence,Documented,665295,6,7,0,3,0,1,4,0,0,1,34092147,34205945,Up
Farm House,0,Non-Residence,Documented,648749,3,6,1,7,0,1,7,1,1,1,33155213,33263997,Up
Farm House,0,Non-Residence,Registrable,30855,12,8,0,9,0,0,6,0,0,1,2550200,2622036,Up
Apartment,13,Residence,Registrable,711631,12,5,1,4,1,0,3,1,0,1,36580349,36725131,Up
Building,2,Residence,Documented,451515,14,1,0,8,1,0,8,1,0,0,23535341,23653424,Up
Villa,0,Non-Residence,Registrable,406832,10,1,1,5,0,1,7,0,0,1,21120189,21198319,Up
Flat,22,Residence,Registrable,157042,5,9,0,0,1,0,9,1,0,0,8786701,8885676,Up
House,3,Residence,Registrable,173916,12,6,1,5,1,0,3,1,0,0,9673255,9789250,Up
Villa,0,Non-Residence,Registrable,305562,8,5,1,5,1,1,1,1,1,0,16015356,16133128,Up
Apartment,20,Residence,Registrable,564086,10,1,0,5,1,1,2,1,0,0,29049662,29120492,Up
Farm House,0,Non-Residence,Documented,502208,14,6,1,7,0,0,1,0,1,1,26147920,26264036,Up
Villa,0,Residence,Documented,62129,1,6,1,5,1,1,5,0,0,1,3753823,3818262,Up
Building,11,Residence,Documented,328684,5,3,1,4,1,1,10,0,1,0,17277036,17331751,Up
Flat,5,Residence,Registrable,493234,3,8,1,1,1,1,2,1,0,0,25357957,25434064,Up
Farm House,0,Residence,Registrable,290660,4,1,0,3,0,1,3,1,0,0,14840831,14982311,Up
Building,6,Residence,Documented,548748,2,1,1,9,1,0,8,0,1,1,28046544,28193844,Up
Apartment,3,Non-Residence,Documented,214420,9,6,0,4,0,0,10,1,0,0,11520730,11614124,Up
Villa,0,Non-Residence,Documented,243304,3,1,0,9,0,0,5,0,0,0,12490751,12633854,Up
House,1,Residence,Registrable,377465,2,6,0,3,0,0,4,1,0,0,19234788,19323453,Up
Empty Land,0,Residence,Documented,461357,10,1,0,1,0,0,5,0,0,0,23580554,23662979,Up
Building,3,Non-Residence,Registrable,504992,11,6,1,6,1,1,10,0,1,0,26371876,26481750,Up
Farm House,0,Non-Residence,Documented,654483,9,3,1,9,0,0,6,0,0,1,33550982,33642414,Up
Villa,0,Residence,Documented,416416,7,8,0,9,0,0,7,1,1,0,21576011,21708789,Up
Empty Land,0,Non-Residence,Registrable,128648,6,6,1,1,0,1,9,0,0,1,7157665,7251614,Up
Empty Land,0,Non-Residence,Registrable,486761,1,1,0,0,0,1,1,1,0,1,24460805,24595165,Up
Villa,0,Non-Residence,Documented,356040,5,5,1,4,0,1,4,1,0,1,18431244,18558678,Up
Flat,3,Residence,Documented,193214,12,8,1,0,1,0,9,0,0,1,10685288,10818583,Up
Villa,0,Non-Residence,Documented,732399,11,3,1,0,0,1,5,0,1,1,37344791,37483395,Up
Farm House,0,Non-Residence,Registrable,284376,14,6,0,0,1,1,8,1,0,0,15235543,15289212,Up
Apartment,22,Non-Residence,Registrable,260247,11,5,0,5,1,1,1,1,0,1,14032093,14162011,Up
House,3,Non-Residence,Documented,616150,3,6,1,8,0,0,4,0,0,1,31462392,31527828,Up
Farm House,0,Residence,Documented,424070,1,1,0,9,1,1,9,0,1,0,21643158,21777468,Up
Apartment,29,Non-Residence,Documented,276487,4,7,0,0,1,1,1,1,1,1,14620360,14706390,Up
Empty Land,0,Non-Residence,Registrable,638853,13,9,1,4,1,0,1,0,1,0,33042211,33096849,Up
House,3,Non-Residence,Documented,18140,2,2,0,8,0,1,4,0,1,0,1325637,1444039,Up
Building,11,Residence,Documented,53028,2,5,1,8,0,0,3,0,0,0,3316632,3423632,Up
Empty Land,0,Residence,Registrable,259714,3,4,1,0,0,0,7,0,0,0,13472199,13531450,Up
Flat,18,Residence,Documented,501608,8,6,1,7,0,1,3,1,1,0,26102571,26161519,Up
Villa,0,Non-Residence,Documented,634921,8,6,0,0,0,0,1,1,0,1,32257420,32360067,Up
Building,12,Non-Residence,Registrable,369001,12,2,1,7,0,1,10,0,0,0,19490416,19628830,Up
Farm House,0,Non-Residence,Registrable,724726,7,2,1,0,0,1,2,0,1,0,36706781,36822504,Up
House,3,Residence,Documented,150659,6,4,0,4,1,1,10,1,0,1,8179706,8327512,Up
Building,6,Non-Residence,Registrable,173002,9,1,0,7,1,1,4,1,1,1,9353030,9489528,Up
Flat,26,Non-Residence,Registrable,156076,4,9,0,5,0,0,1,1,1,1,8569850,8715297,Up
Villa,0,Residence,Registrable,11523,12,7,0,8,1,1,1,1,1,1,1502277,1609522,Up
Building,19,Non-Residence,Registrable,546235,1,7,1,0,0,1,8,1,1,0,28091335,28160433,Up
Farm House,0,Non-Residence,Registrable,388543,8,3,0,8,0,1,7,0,1,1,20167195,20224603,Up
House,2,Residence,Registrable,286603,7,3,0,0,0,0,8,0,1,0,14819863,14952078,Up
Building,18,Residence,Registrable,66703,7,1,0,9,1,0,4,1,0,1,4105041,4224110,Up
Villa,0,Residence,Documented,161275,3,3,0,9,0,1,6,1,0,1,8546271,8665947,Up
Farm House,0,Residence,Registrable,9837,4,3,1,2,0,0,3,0,0,1,977324,1091306,Up
Building,15,Residence,Registrable,571215,10,4,0,0,0,0,8,1,1,1,29348580,29490734,Up
House,3,Non-Residence,Registrable,515223,9,4,1,2,0,1,4,1,1,1,26451843,26588033,Up
Villa,0,Residence,Registrable,324173,6,3,0,1,1,1,3,0,1,0,16658098,16760301,Up
Flat,17,Non-Residence,Documented,364667,5,8,1,1,0,1,4,0,0,0,19084324,19188941,Up
Flat,1,Non-Residence,Documented,347309,3,8,1,8,1,1,6,0,0,0,18071951,18218262,Up
Empty Land,0,Residence,Registrable,630575,9,1,0,7,1,1,7,0,1,1,32284519,32414731,Up
Building,2,Residence,Documented,687781,5,7,1,0,0,0,7,1,1,0,35044607,35100612,Up
House,2,Non-Residence,Documented,295951,5,2,0,3,0,1,4,0,1,1,15253693,15375099,Up
Building,19,Non-Residence,Documented,421071,14,1,1,0,1,1,8,1,1,1,22169823,22289263,Up
Villa,0,Non-Residence,Documented,127516,4,3,1,0,1,1,7,1,1,0,6903034,7001269,Up
Empty Land,0,Residence,Documented,544947,14,4,1,3,1,1,2,1,0,0,28244912,28306885,Up
House,1,Non-Residence,Registrable,498062,4,6,0,1,1,1,8,1,1,1,25522424,25619400,Up
Building,9,Residence,Registrable,703465,12,5,1,2,0,0,9,0,1,1,36222218,36340015,Up
House,3,Non-Residence,Registrable,384434,1,4,0,8,1,1,5,1,1,0,19782471,19891337,Up
Villa,0,Non-Residence,Documented,317928,7,8,1,1,1,0,4,1,1,1,16757119,16824923,Up
Empty Land,0,Non-Residence,Registrable,319687,9,4,1,3,1,1,4,1,0,0,16774378,16912991,Up
House,3,Residence,Documented,691407,3,2,1,0,1,1,4,0,1,0,35057417,35169353,Up
Villa,0,Residence,Registrable,83344,12,3,1,1,0,1,6,0,1,1,5037893,5135169,Up
Flat,27,Non-Residence,Registrable,552320,13,6,1,4,0,0,4,0,1,1,28844537,28919217,Up
House,3,Non-Residence,Registrable,165921,2,8,1,9,0,1,7,0,0,1,9111927,9222894,Up
Empty Land,0,Non-Residence,Registrable,122902,3,8,0,0,1,1,7,0,1,1,6707227,6774089,Up
Apartment,25,Residence,Documented,118512,1,9,0,6,1,1,5,1,0,0,6720397,6857835,Up
Farm House,0,Residence,Registrable,439161,6,7,0,3,0,1,5,0,1,1,22643392,22732945,Up
Farm House,0,Residence,Registrable,399429,11,2,1,5,0,1,10,1,1,0,20933257,20992141,Up
House,3,Residence,Documented,580966,11,8,0,7,1,1,8,0,1,0,30096576,30215150,Up
House,3,Residence,Documented,574195,7,7,1,5,0,1,7,1,1,1,29589879,29700192,Up
Villa,0,Non-Residence,Registrable,464056,11,8,0,1,1,0,7,0,1,0,24108336,24191297,Up
Building,16,Non-Residence,Registrable,575778,11,3,0,0,1,1,6,1,1,1,29676321,29757883,Up
Farm House,0,Non-Residence,Documented,129973,2,7,1,7,1,1,7,0,1,1,7219771,7295836,Up
Building,7,Residence,Documented,478507,8,9,1,7,1,1,7,1,1,0,25005772,25087856,Up
Farm House,0,Non-Residence,Registrable,417509,14,3,0,8,1,0,10,1,1,0,21895438,21996476,Up
House,1,Residence,Documented,319214,6,6,0,5,1,0,2,1,0,0,16549433,16676770,Up
Empty Land,0,Residence,Documented,226656,14,2,0,0,0,1,10,1,0,1,12185794,12256751,Up
Empty Land,0,Non-Residence,Registrable,169464,4,2,0,8,0,0,2,1,0,1,8935845,9053961,Up
Apartment,12,Non-Residence,Registrable,525803,5,5,1,2,0,1,10,1,0,0,27005861,27147941,Up
Farm House,0,Residence,Registrable,62313,8,5,0,5,1,1,7,0,1,1,3894707,4006985,Up
Farm House,0,Residence,Documented,28212,14,7,1,9,0,0,10,0,1,1,2696279,2778733,Up
Villa,0,Non-Residence,Registrable,625285,3,2,1,9,1,1,7,1,0,0,31937760,32041556,Up
House,1,Residence,Registrable,113316,3,7,0,8,1,0,7,1,0,1,6344416,6405693,Up
House,3,Residence,Registrable,129278,14,5,1,2,1,0,5,1,0,0,7405530,7554054,Up
Apartment,4,Residence,Documented,587080,14,6,0,4,1,0,1,1,0,0,30312443,30428854,Up
Building,19,Non-Residence,Registrable,286477,11,8,1,4,0,1,2,1,1,0,15427417,15554607,Up
Villa,0,Residence,Registrable,135730,4,4,1,9,0,1,9,1,0,1,7537818,7647887,Up
Flat,2,Residence,Documented,718540,1,7,0,6,0,1,8,1,1,0,36461023,36577755,Up
Empty Land,0,Residence,Documented,269614,9,6,1,3,1,1,8,0,1,0,14352353,14454214,Up
Empty Land,0,Residence,Registrable,335118,8,2,1,3,0,1,10,1,1,0,17477771,17577258,Up
House,2,Residence,Registrable,151956,8,8,0,6,0,1,1,1,0,0,8399590,8490774,Up
Apartment,24,Residence,Registrable,106070,14,9,1,8,0,1,6,0,0,1,6838094,6911492,Up
Villa,0,Residence,Documented,271346,10,5,1,3,1,0,9,0,1,0,14416025,14545931,Up
Flat,17,Non-Residence,Registrable,904,6,4,0,3,0,1,8,1,0,1,787490,866007,Up
Empty Land,0,Non-Residence,Registrable,703786,7,6,0,5,1,1,3,0,0,0,35851697,35996092,Up
Villa,0,Non-Residence,Documented,275407,6,8,1,5,0,1,4,0,1,1,14579259,14696042,Up
Flat,24,Residence,Documented,674244,9,3,1,6,1,0,3,0,1,1,34729544,34804108,Up
Farm House,0,Non-Residence,Registrable,715960,3,1,1,0,0,0,6,1,0,1,36180324,36237435,Up
House,1,Non-Residence,Documented,665720,14,4,0,2,0,0,9,1,1,1,34234847,34305820,Up
Building,1,Residence,Registrable,235865,3,4,1,8,0,1,8,0,0,0,12514656,12564966,Up
Empty Land,0,Non-Residence,Registrable,343286,3,1,1,5,1,0,10,1,0,0,17678436,17804732,Up
Empty Land,0,Residence,Documented,51112,10,9,1,5,0,0,4,1,1,1,3582586,3650574,Up
Flat,10,Residence,Documented,200744,3,3,1,4,0,1,2,1,1,1,10640667,10712710,Up
Building,15,Residence,Documented,5309,9,5,1,2,1,1,8,0,0,1,1241543,1344677,Up
Farm House,0,Non-Residence,Documented,163773,12,6,1,4,1,1,8,0,1,0,9227971,9368451,Up
Villa,0,Residence,Registrable,709190,4,8,0,0,1,0,6,0,0,1,36043898,36149224,Up
House,3,Non-Residence,Documented,145028,13,6,0,2,1,1,8,0,1,1,8175067,8315004,Up
Villa,0,Residence,Documented,507464,7,3,1,3,0,1,9,1,0,0,26154920,26222301,Up
Flat,21,Residence,Registrable,450113,14,6,1,4,0,1,1,1,1,0,23765510,23848774,Up
Empty Land,0,Non-Residence,Registrable,39265,9,1,0,9,1,1,9,1,0,0,2833791,2905860,Up
Farm House,0,Residence,Registrable,316576,11,4,0,8,0,1,2,0,0,0,16648477,16741441,Up
Empty Land,0,Non-Residence,Documented,546737,12,6,0,3,1,1,1,0,1,0,28120906,28237640,Up
Villa,0,Residence,Registrable,201652,7,7,1,2,0,0,8,1,0,0,10925584,10981494,Up
Farm House,0,Residence,Documented,300388,9,3,1,9,1,1,8,0,0,1,15924324,16045344,Up
Apartment,15,Residence,Documented,701403,12,9,1,0,0,0,4,0,0,1,36121172,36217337,Up
House,1,Residence,Documented,92693,3,7,1,9,1,0,8,1,0,0,5421084,5537196,Up
Flat,23,Residence,Documented,36687,4,1,0,5,1,1,7,0,0,1,2525554,2608375,Up
House,1,Residence,Registrable,506450,14,2,0,6,0,0,2,0,1,0,26161799,26256191,Up
Flat,29,Residence,Registrable,138811,8,1,0,9,0,0,5,1,0,1,7836459,7935062,Up
House,2,Residence,Registrable,508653,6,9,0,7,0,0,10,0,0,0,26235561,26318557,Up
Apartment,14,Non-Residence,Registrable,189589,5,9,1,0,1,1,4,1,0,0,10328565,10469455,Up
Villa,0,Non-Residence,Registrable,586665,13,7,1,3,0,0,3,1,1,1,30245409,30391174,Up
Building,4,Non-Residence,Documented,436841,4,3,0,4,1,0,1,0,1,1,22271688,22399246,Up
Farm House,0,Residence,Documented,312566,8,5,0,1,0,0,5,1,0,0,16151190,16267710,Up
Flat,18,Non-Residence,Documented,618862,1,4,0,0,0,0,10,0,0,0,31398667,31526863,Up
Villa,0,Non-Residence,Documented,687909,14,7,0,7,1,1,8,0,1,0,35549980,35625024,Up
Empty Land,0,Residence,Registrable,561919,9,9,0,5,1,1,9,0,1,0,28975213,29109600,Up
Empty Land,0,Non-Residence,Documented,640553,1,2,1,4,0,0,7,0,0,0,32418667,32511476,Up
House,1,Residence,Documented,631672,8,8,1,8,1,1,1,0,1,0,32511578,32594877,Up
Empty Land,0,Non-Residence,Documented,126417,4,9,0,1,1,1,1,0,0,1,6859573,6988820,Up
Building,2,Non-Residence,Documented,300270,9,9,0,9,0,0,1,0,0,1,15799193,15925956,Up
Flat,2,Non-Residence,Documented,698668,14,7,0,7,1,1,2,0,0,1,35942343,36054990,Up
House,2,Non-Residence,Documented,482180,11,9,1,9,0,1,1,0,1,1,25143328,25266892,Up
Flat,17,Non-Residence,Registrable,281842,5,9,1,8,0,0,4,1,0,1,15012359,15144840,Up
Flat,9,Residence,Registrable,540042,3,3,1,0,1,0,10,1,0,0,27624971,27707828,Up
Apartment,8,Non-Residence,Documented,44738,9,4,0,6,0,1,9,0,1,0,3065185,3153688,Up
Villa,0,Residence,Documented,1752,11,2,1,7,1,1,4,0,0,1,1006764,1121981,Up
Empty Land,0,Non-Residence,Documented,485950,14,3,0,2,0,1,4,0,0,0,25124210,25200192,Up
Farm House,0,Residence,Documented,316326,14,5,1,3,1,1,7,1,0,1,16837623,16954451,Up
Flat,2,Non-Residence,Documented,322138,9,5,1,2,1,0,9,1,1,1,16970153,17073415,Up
Building,2,Non-Residence,Registrable,606105,4,6,1,6,1,0,7,0,1,0,31037357,31111237,Up
Apartment,5,Non-Residence,Registrable,327859,11,7,0,8,1,0,1,0,0,0,17297972,17446046,Up
Building,12,Non-Residence,Documented,603375,4,7,0,2,1,0,1,0,1,1,30836865,30894424,Up
Farm House,0,Non-Residence,Registrable,7449,12,1,1,5,0,0,4,1,0,1,1199110,1285659,Up
Empty Land,0,Residence,Documented,318037,8,2,0,7,0,1,4,0,0,1,16539458,16624617,Up
Empty Land,0,Non-Residence,Documented,729413,2,9,0,5,1,1,1,1,1,1,37072639,37173009,Up
House,1,Non-Residence,Registrable,662801,9,2,0,1,0,0,6,1,1,0,33680405,33789694,Up
House,2,Residence,Registrable,550722,13,6,0,6,1,0,10,0,0,1,28597926,28735001,Up
House,2,Non-Residence,Registrable,455602,14,1,0,1,1,0,2,1,1,0,23470101,23598841,Up
Empty Land,0,Non-Residence,Registrable,338389,6,3,0,1,0,1,5,0,1,1,17462319,17514571,Up
Flat,20,Non-Residence,Documented,476967,9,2,0,1,0,1,8,1,1,1,24737302,24797168,Up
Villa,0,Non-Residence,Registrable,357100,8,3,1,0,1,1,3,1,0,0,18503438,18591435,Up
Farm House,0,Non-Residence,Registrable,316057,7,5,0,0,1,0,9,0,0,0,16335570,16475906,Up
Apartment,2,Residence,Registrable,304962,13,6,0,6,1,0,7,0,1,0,16332774,16390327,Up
Farm House,0,Non-Residence,Documented,251375,14,9,1,4,1,0,9,1,0,0,13835056,13917887,Up
Farm House,0,Residence,Documented,463889,1,4,1,2,1,0,1,1,0,0,23554545,23671868,Up
House,1,Non-Residence,Documented,70890,14,7,1,0,1,0,5,1,1,1,4626239,4721049,Up
Villa,0,Non-Residence,Registrable,708189,12,6,1,9,0,1,3,0,0,1,36416244,36524963,Up
Building,4,Residence,Registrable,253990,3,2,0,5,1,0,4,0,1,1,13231717,13293443,Up
Empty Land,0,Non-Residence,Registrable,567876,11,8,1,0,1,1,4,0,0,0,29269009,29388460,Up
Building,9,Non-Residence,Documented,248440,14,7,1,8,0,1,7,0,0,0,13632216,13729639,Up
House,3,Residence,Registrable,365840,2,7,0,1,1,1,10,1,1,0,18968764,19018856,Up
Flat,26,Non-Residence,Registrable,433527,5,8,0,0,1,1,8,1,0,1,22590492,22716962,Up
Apartment,27,Non-Residence,Documented,508541,5,1,0,6,0,1,10,1,1,0,26289064,26369059,Up
Apartment,25,Residence,Registrable,318123,5,1,1,5,1,0,5,1,0,1,16648767,16796772,Up
House,3,Residence,Registrable,216964,4,8,0,5,0,0,10,1,0,1,11509051,11622008,Up
Villa,0,Non-Residence,Registrable,743229,5,4,1,4,1,0,7,0,0,1,37885409,37937086,Up
Apartment,2,Non-Residence,Registrable,511236,3,5,0,3,0,1,3,0,1,0,25973854,26117632,Up
House,3,Non-Residence,Documented,317767,12,8,0,3,0,1,3,1,0,1,16799409,16871301,Up
Farm House,0,Residence,Documented,650699,1,5,1,2,0,1,3,1,0,1,33030842,33102956,Up
Flat,16,Residence,Documented,224277,5,4,0,9,1,1,4,1,1,1,12078159,12164791,Up
Flat,11,Non-Residence,Registrable,6069,13,6,0,7,1,1,6,1,1,0,1461469,1538526,Up
Empty Land,0,Non-Residence,Registrable,594624,9,5,0,6,0,1,5,1,0,1,30443980,30556545,Up
Empty Land,0,Non-Residence,Documented,629361,13,7,0,8,0,0,8,1,1,0,32437694,32548447,Up
Farm House,0,Residence,Registrable,430302,9,7,0,0,1,1,5,1,1,0,22230734,22324765,Up
Flat,8,Residence,Documented,258590,4,4,1,6,1,1,5,1,1,1,13664011,13764060,Up
Farm House,0,Residence,Documented,667875,3,5,1,9,1,0,10,0,1,1,34134851,34245126,Up
Flat,12,Non-Residence,Registrable,45502,1,3,0,3,1,1,2,1,0,0,2677076,2774957,Up
Villa,0,Non-Residence,Documented,662114,2,4,1,6,1,0,5,1,1,1,33697103,33799968,Up
House,3,Non-Residence,Documented,680074,8,4,1,0,0,0,7,0,0,0,34679674,34826742,Up
Empty Land,0,Residence,Documented,499370,1,3,1,4,1,0,2,0,0,0,25328126,25428810,Up
Villa,0,Non-Residence,Documented,212291,8,5,0,2,0,1,6,1,0,0,11217191,11322878,Up
Apartment,13,Residence,Documented,203346,13,5,0,4,1,0,7,0,1,1,11192992,11318697,Up
House,2,Non-Residence,Documented,661950,7,7,0,3,0,0,5,0,1,0,33734221,33840659,Up
Empty Land,0,Residence,Registrable,667497,8,4,1,1,0,1,9,1,0,0,34151062,34258376,Up
Apartment,13,Non-Residence,Documented,678275,12,4,1,3,1,0,4,0,0,1,34929009,35029512,Up
Farm House,0,Non-Residence,Documented,24571,6,9,0,2,0,1,10,1,1,1,2036176,2116916,Up
Apartment,27,Residence,Registrable,583031,12,6,0,0,0,1,1,1,1,0,30159678,30255854,Up
Villa,0,Non-Residence,Registrable,172812,14,4,1,9,0,0,8,1,0,0,9769568,9829598,Up
Building,8,Residence,Documented,257718,9,2,1,7,0,1,8,0,1,0,13774465,13900753,Up
Apartment,15,Non-Residence,Registrable,215379,3,6,0,4,1,1,7,0,1,1,11520947,11577998,Up
Building,9,Non-Residence,Registrable,364214,10,2,1,3,0,0,8,1,0,0,19044907,19150917,Up
Empty Land,0,Non-Residence,Documented,427150,4,5,1,9,1,0,2,1,1,0,22083166,22143755,Up
Villa,0,Residence,Registrable,332368,13,6,1,4,0,0,3,0,1,1,17644289,17705684,Up
Apartment,11,Non-Residence,Documented,553520,6,4,1,3,1,0,9,1,0,1,28561787,28624620,Up
House,2,Residence,Documented,646253,8,3,1,2,1,1,1,0,1,0,32992445,33108579,Up
